facility_id,facility_type,zone,lead_time_days,medicine,month,stock_on_hand,consumption,resupply,days_of_stock,stockout
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-01,72.0,27,0,80.0,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-02,44.0,28,0,47.1,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-03,24.0,20,0,36.0,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-04,68.0,25,69,81.6,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-05,40.0,28,0,42.9,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-07,47.0,24,57,58.8,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-08,30.0,17,0,52.9,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-09,5.0,25,0,6.0,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-10,35.0,28,58,37.5,0
ETH001,Health Centre,SNNPR,21,Oxytocin,2024-11,74.0,24,63,92.5,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-01,133.0,18,0,180.0,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-02,106.0,27,0,117.8,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-03,79.0,27,0,87.8,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-05,22.0,25,0,26.4,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-06,89.0,21,88,127.1,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-08,25.0,31,0,24.2,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-09,86.0,28,89,92.1,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-10,70.0,16,0,131.2,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-11,36.0,34,0,31.8,0
ETH001,Health Centre,SNNPR,21,ORS/Zinc,2024-12,18.0,18,0,30.0,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-01,141.0,18,0,180.0,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-02,123.0,18,0,180.0,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-03,99.0,24,0,123.8,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-04,80.0,19,0,126.3,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-05,52.0,28,0,55.7,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-06,5.0,47,0,3.2,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-08,21.0,37,0,17.0,0
ETH001,Health Centre,SNNPR,21,Artemether-Lumefantrine,2024-09,0.0,21,0,0.0,1
