facility_id,facility_type,zone,medicine,month,avg_days_of_stock,stockout_rate_pct,total_consumption,total_stockouts,stock_on_hand,at_risk
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-01,180.0,0.0,18,0,141.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-02,180.0,0.0,18,0,123.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-03,123.8,0.0,24,0,99.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-04,126.3,0.0,19,0,80.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-05,55.7,0.0,28,0,52.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-06,3.2,0.0,47,0,5.0,True
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-08,17.0,0.0,37,0,21.0,True
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-09,0.0,100.0,21,1,0.0,True
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-10,0.0,100.0,0,1,0.0,True
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-11,43.2,0.0,25,0,36.0,False
ETH001,Health Centre,SNNPR,Artemether-Lumefantrine,2024-12,79.6,0.0,26,0,69.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-01,177.0,0.0,20,0,118.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-03,76.8,0.0,25,0,64.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-04,61.4,0.0,21,0,43.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-05,41.7,0.0,18,0,25.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-06,9.5,0.0,19,0,6.0,True
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-07,96.2,0.0,24,0,77.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-08,162.5,0.0,12,0,65.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-09,67.5,0.0,20,0,45.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-11,42.7,0.0,33,0,47.0,False
ETH001,Health Centre,SNNPR,Magnesium Sulphate,2024-12,24.2,0.0,26,0,21.0,True
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-01,180.0,0.0,18,0,133.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-02,117.8,0.0,27,0,106.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-03,87.8,0.0,27,0,79.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-05,26.4,0.0,25,0,22.0,True
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-06,127.1,0.0,21,0,89.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-08,24.2,0.0,31,0,25.0,True
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-09,92.1,0.0,28,0,86.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-10,131.2,0.0,16,0,70.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-11,31.8,0.0,34,0,36.0,False
ETH001,Health Centre,SNNPR,ORS/Zinc,2024-12,30.0,0.0,18,0,18.0,False
